t,pwm,V,i,theta_m,omega_m,theta_l,omega_l,enc_m,enc_o,temp
0.0305,0.173054714795278,1.21375714950363,0.462176029364558,0.02511055608799,5.617491226189,0.000486378636177402,0.11022241239961,0.0245436926061703,0.00038349519697141,25.3034548241959
0.031,0.175882531228513,1.25064171167626,0.470567206976798,0.0280212062541115,6.02510943829674,0.000543515114517748,0.118323500961771,0.0276116541819415,0.00038349519697141,25.3084038359627
0.0315,0.178709421026223,1.28751418729856,0.478689131691702,0.0311382031148814,6.44287800478308,0.000604753802176877,0.126631249674749,0.0306796157577128,0.00038349519697141,25.313352022963
0.032,0.181535353477583,1.32437417579456,0.486561214268461,0.0344664206446859,6.86999211443487,0.000670194033655428,0.135129676239454,0.0352815581213697,0.000766990393942821,25.3182993853342
0.0325,0.18436029783602,1.361221276122,0.494203688166492,0.0380103241406347,7.30562186936043,0.000739927024203179,0.143802285951549,0.038349519697141,0.000766990393942821,25.3232459232137
0.033,0.187184223319524,1.3980550867764,0.501636883534294,0.0417739682841353,7.74895470464164,0.000814035763900071,0.152632672836019,0.0414174812729123,0.000766990393942821,25.3281916367389
0.0335,0.190007099110967,1.43487520579522,0.508880440376041,0.0457610109391773,8.19921591552634,0.000892595220506663,0.161605153590353,0.0460194236365692,0.000766990393942821,25.3331365260473
0.034,0.192828894358421,1.47168123076201,0.515952600997555,0.0499747411017379,8.65570473471602,0.000975672837876027,0.170705315887103,0.0506213660002262,0.000766990393942821,25.338080591276
0.0345,0.195649578175474,1.50847275881053,0.522869608380496,0.0544181188817459,9.11780638531623,0.0010633292840337,0.179920468743572,0.0552233083638831,0.00115048559091423,25.3430238325626
0.035,0.198469119641553,1.54524938662895,0.529645307744778,0.0590938234538387,9.58501190305488,0.00115561938051731,0.189239917190897,0.05982525072754,0.00115048559091423,25.3479662500443
0.0355,0.201287487802244,1.58201071046405,0.536290935641869,0.064004305226296,10.0569151867745,0.00125259313118473,0.198655085478763,0.0644271930911969,0.00115048559091423,25.3529078438584
0.036,0.204104651669614,1.6187563261254,0.54281512650135,0.0691518378790848,10.5332154243804,0.00135429676934945,0.208159467180119,0.0690291354548539,0.00153398078788564,25.3578486141421
0.0365,0.206920580222539,1.65548582898964,0.54922407154762,0.0745385672236124,11.0137019537302,0.0014607737521332,0.217748463954888,0.0751650586063964,0.00153398078788564,25.3627885610327
0.037,0.209735242407023,1.69219881400465,0.55552180895733,0.0801665542593741,11.4982461893167,0.00157206565056518,0.227419129773045,0.0797670009700533,0.00153398078788564,25.3677276846675
0.0375,0.212548607136529,1.72889487569386,0.561710192960793,0.0860378188486119,11.9868121676348,0.00168821302953545,0.237170386108035,0.0859029241215959,0.00191747598485705,25.3726659851836
0.038,0.215360643292305,1.7655736081605,0.567789741490418,0.0921543664380565,12.4793781901434,0.00180925604132137,0.247001661035614,0.0920388472731385,0.00191747598485705,25.3776034627181
0.0385,0.218171319723713,1.80223460509191,0.573760382152808,0.0985181998612605,12.9759555026725,0.00193523471011109,0.256913014123283,0.098174770424681,0.00191747598485705,25.3825401174084
0.039,0.22098060524856,1.83887745976382,0.57962107949035,0.105131338595745,13.4765994352636,0.00206618933353656,0.266905479578585,0.104310693576224,0.00191747598485705,25.3874759493914
0.0395,0.223788468653426,1.87550176504469,0.58536990951653,0.111995836529482,13.9813922996867,0.00220216082155026,0.276980472476243,0.111980597515652,0.00230097118182846,25.3924109588043
0.04,0.226594878694004,1.91210711340005,0.591004124441629,0.119113798432911,14.4904553140294,0.00234319100173298,0.287140248254633,0.11965050145508,0.00230097118182846,25.3973451457841
0.0405,0.229399804095426,1.94869309689686,0.596520145794532,0.126487396568555,15.0039372285472,0.0024893229775836,0.297387655147818,0.125786424606623,0.00268446637879987,25.402278510468
0.041,0.232203213552601,1.98525930720784,0.601913565535803,0.134118887278425,15.5220256109328,0.0026406014534763,0.307726248422978,0.133456328546051,0.00268446637879987,25.407211052993
0.0415,0.235005075730554,2.02180533561593,0.607179119036972,0.14201062811188,16.0449377228861,0.00279707307747987,0.318160247591326,0.141126232485479,0.00268446637879987,25.412142773496
0.042,0.237805359264761,2.05833077301862,0.612310697097349,0.150165094713194,16.5729286823684,0.00295878677970432,0.328694561306454,0.150330117212793,0.00306796157577128,25.4170736721141
0.0425,0.240604032761485,2.09483520993242,0.617301364578826,0.158584897336472,17.106281810747,0.00312579410622623,0.339334744781207,0.159534001940107,0.00306796157577128,25.4220037489843
0.043,0.243401064798125,2.13131823649728,0.62214343632955,0.167272795842141,17.6453122119285,0.00329814952762121,0.350086940798719,0.167203905879535,0.00345145677274269,25.4269330042435
0.0435,0.246196423923546,2.16777944248104,0.626828578202548,0.176231712673103,18.1903551119181,0.00347591070880655,0.360957783942634,0.176407790606849,0.00345145677274269,25.4318614380285
0.044,0.248990078658431,2.20421841728388,0.631347968821149,0.185464742595633,18.7417645782015,0.00365913872083103,0.371954264155289,0.185611675334163,0.0038349519697141,25.4367890504764
0.0445,0.251781997495619,2.24063474994285,0.635694508609119,0.194975118259732,19.2997380781942,0.00384789754446286,0.383081030372043,0.194815560061476,0.0038349519697141,25.441715841724
0.045,0.254572148900452,2.27702802913633,0.639860324745257,0.204766225660382,19.8646915244051,0.00404225414826403,0.394345384832628,0.20401944478879,0.00421844716668551,25.4466418119081
0.0455,0.257360501311122,2.31339784318855,0.643834588447125,0.214841663253222,20.437058846955,0.00424227955480156,0.405756241317505,0.21475731030399,0.00421844716668551,25.4515669611656
0.046,0.260147023139017,2.34974378007414,0.647607176843009,0.225205227832823,21.0171994714488,0.00444804878416719,0.417320676144991,0.225495175819189,0.00460194236365692,25.4564912896333
0.0465,0.262931682769071,2.38606542742266,0.651169369237564,0.235860886485682,21.6054351399895,0.00465964037357568,0.429045681488956,0.236233041334389,0.00460194236365692,25.461414797448
0.047,0.265714448560111,2.42236237252319,0.65451425870155,0.24681274031148,22.2019801632032,0.00487713579094354,0.440935987982502,0.246970906849588,0.00498543756062833,25.4663374847464
0.0475,0.268495288845213,2.45863420232886,0.657637192107946,0.258064979343648,22.8069759654678,0.00510061847605556,0.452994752465571,0.257708772364788,0.00536893275759974,25.4712593516653
0.048,0.271274171932049,2.49488050346151,0.660536015336552,0.269621832565898,23.4204369235324,0.00533017289307411,0.465222915608647,0.269980618667873,0.00536893275759974,25.4761803983414
0.0485,0.274051066103244,2.53110086221623,0.663211385456925,0.281487511685136,24.042279553418,0.00556588342598674,0.477619216041859,0.282252464970958,0.00575242795457115,25.4811006249115
0.049,0.276825939616731,2.56729486456606,0.665666974909349,0.293666150820803,24.6722769892501,0.00580783319869093,0.490179874774909,0.292990330486157,0.00575242795457115,25.486020031512
0.0495,0.279598760706104,2.60346209616657,0.667909773638294,0.306161740151593,25.3100803339118,0.00605610277536209,0.5028984319097,0.306796157577128,0.00613592315154256,25.4909386182798
0.05,0.282369497580976,2.63960214236056,0.669950320311245,0.318978054937844,25.9551788110928,0.00631076876255714,0.515765516870534,0.319068003880213,0.00651941834851398,25.4958563853515
0.0505,0.285138118427341,2.67571458818271,0.67180299859534,0.332118578618437,26.6069159112781,0.00657190230040758,0.528768634531217,0.331339850183298,0.00651941834851398,25.5007733328636
0.051,0.287904591407929,2.71179901836429,0.673486226717263,0.34558642211655,27.2644580811732,0.00683956746222833,0.541892012751786,0.345145677274269,0.00690291354548539,25.5056894609527
0.0515,0.290668884662567,2.74785501733783,0.675022621748819,0.359384239859745,27.9268128916059,0.00711381958925299,0.555116495346861,0.35895150436524,0.00690291354548539,25.5106047697554
0.052,0.293430966308545,2.78388216924189,0.67643897553872,0.373514146281467,28.5928127952846,0.00739470361088185,0.568419591168569,0.374291312244096,0.0072864087424568,25.5155192594083
0.0525,0.296190804440976,2.81988005792577,0.677766095793955,0.387977635500965,29.2611440827068,0.00768225241928901,0.581775642460039,0.388097139335067,0.00766990393942821,25.5204329300478
0.053,0.298948367133159,2.85584826695424,0.679038376022689,0.402775509604397,29.9303523310193,0.00797648538515359,0.595156220998319,0.403436947213924,0.00805339913639962,25.5253457818104
0.0535,0.301703622436948,2.89178637961236,0.680293145364612,0.417907819929379,30.59888896891,0.00827740711640777,0.608530704018435,0.417242774304894,0.00843689433337103,25.5302578148327
0.054,0.304456538383117,2.92769397891022,0.681569703729225,0.433373827646819,31.2651419008524,0.00858500656955469,0.621867108569194,0.432582582183751,0.00843689433337103,25.535169029251
0.0545,0.307207082981728,2.96357064758776,0.682908109860388,0.449171988581502,31.9275018378795,0.00889925662655857,0.635133119446335,0.449456370850493,0.00882038953034244,25.5400794252017
0.055,0.309955224222499,2.99941596811955,0.684347679197251,0.465299968075506,32.584416138134,0.00922011424331854,0.648297347593564,0.464796178729349,0.00920388472731385,25.5449890028214
0.0555,0.312700930075177,3.0352295227197,0.685925288708003,0.48175468975499,33.2344705798031,0.00954752126269887,0.661330729927741,0.481669967396091,0.00958737992428526,25.5498977622463
0.056,0.315444168489905,3.07101089334659,0.687673501927613,0.498532421796282,33.8764575853625,0.00988140596045661,0.674208061103231,0.498543756062833,0.00997087512125667,25.5548057036127
0.0565,0.318184907397601,3.10675966170784,0.689618647192621,0.515628901627306,34.5094617387363,0.0102216853608064,0.686909540296111,0.515417544729575,0.0103543703182281,25.5597128270572
0.057,0.320923114710325,3.14247540926511,0.691778915838908,0.533039498665119,35.1329264125141,0.0105682683159392,0.699422280234793,0.532291333396318,0.0107378655151995,25.5646191327158
0.0575,0.323658758321659,3.17815771723903,0.694162643829331,0.550759411420925,35.7467246107128,0.0109210592958547,0.711741639427516,0.550699102850945,0.0111213607121709,25.569524620725
0.058,0.326391806107081,3.21380616661409,0.696766880105139,0.568783893238129,36.3512026581007,0.0112799627799643,0.72387229701063,0.569106872305573,0.0111213607121709,25.574429291221
0.0585,0.32912222592434,3.24942033814357,0.699576412548006,0.58710849751118,36.9472144341038,0.0116448880865731,0.735828929424447,0.587514641760201,0.0115048559091423,25.57933314434
0.059,0.331849985613841,3.28499981235445,0.702563356075224,0.605729331142577,37.5361200914846,0.0120157544216652,0.747636410944335,0.605922411214828,0.0122718463030851,25.5842361802183
